pin,geometry,certified_tot,class
17221101351101,POINT (-87.6213988334 41.866858257),41516.0,299
17221101351171,POINT (-87.6213988334 41.866858257),40630.0,299
17221101351192,POINT (-87.6213988334 41.866858257),74094.0,299
17221101351322,POINT (-87.6213988334 41.866858257),3455.0,299
17221101351450,POINT (-87.6213988334 41.866858257),5425.0,299
17221101351460,POINT (-87.6213988334 41.866858257),3455.0,299
17221101351474,POINT (-87.6213988334 41.866858257),3455.0,299
17221101351519,POINT (-87.6213988334 41.866858257),3455.0,299
17221101351547,POINT (-87.6213988334 41.866858257),2712.0,299
17221101351583,POINT (-87.6213988334 41.866858257),3455.0,299
17221101351592,POINT (-87.6213988334 41.866858257),5425.0,299
17221101351652,POINT (-87.6213988334 41.866858257),5425.0,299
17223020140000,POINT (-87.6234843295 41.8585903491),93677.0,597
17212101481012,POINT (-87.6281816314 41.8610519616),31665.0,299
17212101481043,POINT (-87.6281816314 41.8610519616),43982.0,299
17212101481082,POINT (-87.6281816314 41.8610519616),30499.0,299
17212101481136,POINT (-87.6281816314 41.8610519616),26395.0,299
17212101481225,POINT (-87.6281816314 41.8610519616),45157.0,299
17212101481231,POINT (-87.6281816314 41.8610519616),37535.0,299
17212101481232,POINT (-87.6281816314 41.8610519616),38715.0,299
17212101481304,POINT (-87.6281816314 41.8610519616),49267.0,299
17212101481366,POINT (-87.6281816314 41.8610519616),1500.0,299
17212101481386,POINT (-87.6281816314 41.8610519616),1000.0,299
17212101481418,POINT (-87.6281816314 41.8610519616),2500.0,299
17212101481449,POINT (-87.6281816314 41.8610519616),6000.0,299
17212101481469,POINT (-87.6281816314 41.8610519616),6000.0,299
17212101481517,POINT (-87.6281816314 41.8610519616),2500.0,299
17212101481519,POINT (-87.6281816314 41.8610519616),2500.0,299
17212101481674,POINT (-87.6281816314 41.8610519616),2000.0,299
17212101481679,POINT (-87.6281816314 41.8610519616),2000.0,299
17223120271001,POINT (-87.6243509782 41.8552225448),19000.0,299
17223120271023,POINT (-87.6243509782 41.8552225448),18000.0,299
17223120271032,POINT (-87.6243509782 41.8552225448),1000.0,299
17223120271060,POINT (-87.6243509782 41.8552225448),1000.0,299
17212101391099,POINT (-87.629952428 41.8610985002),1500.0,299
17212101391109,POINT (-87.629952428 41.8610985002),1500.0,299
17212101391114,POINT (-87.629952428 41.8610985002),1500.0,299
17212101391127,POINT (-87.629952428 41.8610985002),1500.0,299
17212130490000,POINT (-87.628728828 41.8649589557),7742.0,241
17214090341014,POINT (-87.6276731603 41.8570233136),38001.0,299
17214090341033,POINT (-87.6276731603 41.8570233136),34000.0,299
17214140111011,POINT (-87.6278380974 41.8558146578),31615.0,299
17214140111017,POINT (-87.6278380974 41.8558146578),20519.0,299
17214140111047,POINT (-87.6278380974 41.8558146578),27672.0,299
17214140111078,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111097,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111110,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111126,POINT (-87.6278380974 41.8558146578),17622.0,299
17214140111141,POINT (-87.6278380974 41.8558146578),18146.0,299
17214140111168,POINT (-87.6278380974 41.8558146578),19157.0,299
17214140111170,POINT (-87.6278380974 41.8558146578),19157.0,299
17214140111209,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111233,POINT (-87.6278380974 41.8558146578),2968.0,299
17223020511026,POINT (-87.6235022191 41.8593734044),21000.0,299
17223020511080,POINT (-87.6235022191 41.8593734044),1000.0,299
17223060461024,POINT (-87.6243783915 41.8565968215),1501.0,299
17223020511092,POINT (-87.6235022191 41.8593734044),2000.0,299
17223020511098,POINT (-87.6235022191 41.8593734044),2000.0,299
17223020511139,POINT (-87.6235022191 41.8593734044),500.0,299
17223030630000,POINT (-87.6209992507 41.8585314217),121000.0,295
17223040921039,POINT (-87.6203954979 41.8594696522),40758.0,299
17223040921080,POINT (-87.6203954979 41.8594696522),49688.0,299
17223040921115,POINT (-87.6203954979 41.8594696522),60850.0,299
17223040921156,POINT (-87.6203954979 41.8594696522),52477.0,299
17223040921160,POINT (-87.6203954979 41.8594696522),41877.0,299
17223040921186,POINT (-87.6203954979 41.8594696522),31268.0,299
17223040921200,POINT (-87.6203954979 41.8594696522),54710.0,299
17223040921238,POINT (-87.6203954979 41.8594696522),31829.0,299
17223040921263,POINT (-87.6203954979 41.8594696522),47456.0,299
17223040921325,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921337,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921360,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921476,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921491,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921492,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921517,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921563,POINT (-87.6203954979 41.8594696522),2759.0,299
17223040921630,POINT (-87.6203954979 41.8594696522),2759.0,299
17212111360000,POINT (-87.6276400072 41.8627731989),46000.0,295
17212112500000,POINT (-87.6299342799 41.866115469),41000.0,295
17212101391045,POINT (-87.629952428 41.8610985002),36593.0,299
17212101391049,POINT (-87.629952428 41.8610985002),40248.0,299
17212101391053,POINT (-87.629952428 41.8610985002),39043.0,299
17212101391093,POINT (-87.629952428 41.8610985002),1500.0,299
17212101391134,POINT (-87.629952428 41.8610985002),2500.0,299
17214110420000,POINT (-87.6296407898 41.8559321533),53435.0,295
17221060761027,POINT (-87.6269061084 41.8620909336),28275.0,299
17221060761037,POINT (-87.6269061084 41.8620909336),66755.0,299
17221060761065,POINT (-87.6269061084 41.8620909336),31670.0,299
17221070801033,POINT (-87.6245472829 41.8637764507),32943.0,299
17221070801064,POINT (-87.6245472829 41.8637764507),23952.0,299
17221070801076,POINT (-87.6245472829 41.8637764507),34143.0,299
17221070801119,POINT (-87.6245472829 41.8637764507),25156.0,299
17221070801149,POINT (-87.6245472829 41.8637764507),33531.0,299
17221070801155,POINT (-87.6245472829 41.8637764507),34743.0,299
17221070801162,POINT (-87.6245472829 41.8637764507),27547.0,299
17221070801246,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801255,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801271,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801314,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801315,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801325,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801339,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801368,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801393,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801395,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801411,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801413,POINT (-87.6245472829 41.8637764507),3000.0,299
17221070801512,POINT (-87.6245472829 41.8637764507),3000.0,299
17221090480000,POINT (-87.6215678488 41.8634981325),108000.0,295
17214140111087,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111230,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111240,POINT (-87.6278380974 41.8558146578),2968.0,299
17214140111225,POINT (-87.6278380974 41.8558146578),2968.0,299
17212101391066,POINT (-87.629952428 41.8610985002),43898.0,299
17212101391106,POINT (-87.629952428 41.8610985002),1500.0,299
17212101391155,POINT (-87.629952428 41.8610985002),1500.0,299
17214080291019,POINT (-87.6290787119 41.8571060436),31000.0,299
17214080291038,POINT (-87.6290787119 41.8571060436),42000.0,299
17212113300000,POINT (-87.6286747435 41.8637668107),63000.0,295
17212101190000,POINT (-87.6282343039806 41.86151439772264),97631.0,278
17212101350000,POINT (-87.62841978607132 41.86160202381256),185.0,100
17212101451002,POINT (-87.62906041420891 41.861098375823154),29106.0,299
17212101451022,POINT (-87.62906041420891 41.861098375823154),53802.0,299
17212101510000,POINT (-87.6281816279 41.8610519591),155495.0,597
17212110900000,POINT (-87.62765834643967 41.86340566896538),72000.0,295
17212140050000,POINT (-87.62767155357815 41.86429118236381),59000.0,295
17214040030000,POINT (-87.62911351700836 41.858533729467545),0.0,EX
17214090368002,POINT (-87.6281140658 41.8576267539),6394.0,290
17214090371002,POINT (-87.6276604379 41.8574871195),40174.0,299
17214090371006,POINT (-87.62766043790103 41.85748711946483),37112.0,299
17214090371010,POINT (-87.6276604379 41.8574871195),49211.0,299
17214090371013,POINT (-87.6276604379 41.8574871195),48160.0,299
17214090371014,POINT (-87.6276604379 41.8574871195),36077.0,299
17214090371017,POINT (-87.6276604379 41.8574871195),48641.0,299
17214090371024,POINT (-87.6276604379 41.8574871195),37478.0,299
17214090371030,POINT (-87.62766043790103 41.85748711946483),56041.0,299
17214090371033,POINT (-87.6276604379 41.8574871195),56041.0,299
17214240200000,POINT (-87.62900699683195 41.85415886057587),28495.0,390
